filerName,filing,submissionType,reportPeriod,filedDate,inclMgrs,normalizedIssuer,normalizedTitleOfClass,issuerSIC,issuerSector,issuerTicker,issuerQkid,value,shrsOrPrnAmt,putCall,shrsOrPrnAmtType,invDiscretion,votingAuthSole,votingAuthShared,votingAuthNone,portWgt,hasOtherManager,otherManager,otherManagerFileNumber,QtrsHeld,QOQSshPrnAmt,QOQValue,QOQPortWgt,newOrDel
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,AMERICAN ONCOLOGY NETWORK IN,*W EXP 09/20/202,8000,HC,,0001839998.0010.UF007552A,75042,220646,,SH,DFND,220646,0,0,0.00000064,TRUE,1,028-05394,3,0,30472,0.00000025,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,CONDUIT PHARMACEUTICALS INC,*W EXP 09/22/202,2834,HC,,0001896212.0010.UF007983A,21188,375000,,SH,DFND,375000,0,0,0.00000018,TRUE,1,028-05394,3,0,-8737,-0.00000008,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,EUDA HEALTH HOLDINGS LTD,*W EXP 09/24/202,8000,HC,EUDAW,0001847846.0010.01416SD24,42020,200000,,SH,DFND,200000,0,0,0.00000036,TRUE,1,028-05394,6,0,30620,0.00000026,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,PALLADYNE AI CORP,*W EXP 09/24/202,3569,IN,PDYNW,0001826681.0010.00YMYFRK8,3310,64900,,SH,DFND,64900,0,0,0.00000003,TRUE,1,028-05394,7,0,2960,0.00000003,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,SHF HOLDINGS INC,*W EXP 09/28/202,6199,FI,SHFSW,0001854963.0010.011BWSWH4,12239,188000,,SH,DFND,188000,0,0,0.0000001,TRUE,1,028-05394,5,0,-3515,-0.00000003,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,ENVOY MEDICAL INC,*W EXP 09/29/202,3842,HC,,0001840877.0010.UF008211A,11910,113431,,SH,DFND,113431,0,0,0.0000001,TRUE,1,028-05394,2,0,9641,0.00000008,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,ESTRELLA IMMUNOPHARMA INC,*W EXP 09/29/202,2836,HC,UPTD,0001844417.0010.UF008223A,6055,87500,,SH,DFND,87500,0,0,0.00000005,TRUE,1,028-05394,2,0,1794,0.00000001,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,QOMOLANGMA ACQUISITION CORP,*W EXP 09/29/202,6770,NA,QOMOW,0001894210.0010.01BPH5ZL3,3960,247500,,SH,DFND,247500,0,0,0.00000003,TRUE,1,028-05394,6,0,0,0,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,VELO3D INC,*W EXP 09/29/202,3559,IN,VLD,0001825079.0010.UF008303A,4153,85459,,SH,DFND,85459,0,0,0.00000004,TRUE,1,028-05394,7,0,1581,0.00000001,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,FINNOVATE ACQUISITION CORP,*W EXP 09/30/202,6770,NA,FNVTW,0001857855.0010.01396DVP9,1512,68749,,SH,DFND,68749,0,0,0.00000001,TRUE,1,028-05394,10,0,1031,0.00000001,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,MOUNTAIN & CO I ACQUISITN CO,*W EXP 09/30/202,6770,NA,MCAAW,0001856995.0010.0148QCQK1,19277,274999,,SH,DFND,274999,0,0,0.00000016,TRUE,1,028-05394,9,0,7425,0.00000006,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,PINSTRIPES HOLDINGS INC,*W EXP 09/30/202,6770,NA,,0001852633.0010.UF007464A,49500,199999,,SH,DFND,199999,0,0,0.00000042,TRUE,1,028-05394,9,0,-24300,-0.00000022,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,VALENS SEMICONDUCTOR LTD,*W EXP 09/30/202,3674,TE,,0001863006.0010.UF007232A,28495,447342,,SH,DFND,447342,0,0,0.00000024,TRUE,1,028-05394,7,0,10601,0.00000009,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,AGRICULTURE & NAT SOL ACQ CO,*W EXP 10/01/202,6770,NA,ANSCW,0001854149.0010.01KV8GYV6,16000,100000,,SH,DFND,100000,0,0,0.00000014,TRUE,1,028-05394,1,100000,16000,0.00000014,NEW
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,SPARK I ACQUISITION CORP,*W EXP 10/01/203,6770,NA,,0001884046.0010.UF010699A,7348,40596,,SH,DFND,40596,0,0,0.00000006,TRUE,1,028-05394,2,0,2476,0.00000002,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,DRAGONFLY ENERGY HOLDINGS CO,*W EXP 10/07/202,3690,IN,DFLIW,0001847986.0010.00ZRZRFZ4,4739,228943,,SH,DFND,228943,0,0,0.00000004,TRUE,1,028-05394,6,0,-1900,-0.00000002,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,INCEPTION GROWTH ACQUSTN LTD,*W EXP 10/15/202,6770,NA,IGTAW,0001866838.0010.014QZTZ41,5000,124999,,SH,DFND,124999,0,0,0.00000004,TRUE,1,028-05394,9,0,2888,0.00000002,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,ATHENA TECHNOLOGY ACQ CORP I,*W EXP 10/17/202,6770,NA,ATEK,0001882198.0010.UF007434A,1676,41390,,SH,DFND,41390,0,0,0.00000001,TRUE,1,028-05394,9,0,641,0.00000001,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,SPECTAIRE HLDGS INC,*W EXP 10/17/202,3829,IN,,0001844149.0010.UF009720A,2510,99999,,SH,DFND,99999,0,0,0.00000002,TRUE,1,028-05394,2,0,1910,0.00000002,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,ESGEN ACQUISITION CORP,*W EXP 10/18/202,3690,IN,ZEOWW,0001865506.0010.0140GM330,0,0,,SH,DFND,0,0,0,0,TRUE,1,028-05394,9,-125000,-5000,-0.00000004,DEL
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,ALGOMA STL GROUP INC,*W EXP 10/19/202,3312,MA,ASTLW,0001860805.0010.0133BZQ71,694338,506816,,SH,DFND,506816,0,0,0.00000594,TRUE,1,028-05394,10,425,-222230,-0.00000207,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,ESGL HLDGS LTD,*W EXP 10/19/202,4953,UT,ESGLW,0001957538.0010.01G7TBF33,2077,310000,,SH,DFND,310000,0,0,0.00000002,TRUE,1,028-05394,3,0,1364,0.00000001,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,FTAC EMERALD ACQUISITION COR,*W EXP 10/19/202,6770,NA,EMLDW,0001889123.0010.0154LPFW0,45413,375000,,SH,DFND,375000,0,0,0.00000039,TRUE,1,028-05394,9,0,26625,0.00000022,
D. E. Shaw & Co.  Inc.,edgar/data/1009207/0001104659-24-061895.txt,13F-HR,20240331,20240515,4,MIRION TECHNOLOGIES INC,*W EXP 10/20/202,3829,IN,MIR,0001809987.0010.UF008004A,2005600,895357,,SH,DFND,895357,0,0,0.00001716,TRUE,1,028-05394,8,0,188025,0.00000128,
