issuerName,filing,submissionType,reportPeriod,filedDate,issuerTitleOfClass,filerCik,filerName,issuerQkid,value,QOQValue,shrsOrPrnAmt,QOQSshPrnAmt,portWgt,QOQPortWgt,qtrsHeld,newOrDeleted
CROCS INC,edgar/data/2009539/0002009539-24-000004.txt,13F-HR,20240630,20240731,COM,2009539,Rakuten Securities  Inc.,0001334036.0000.000BLY663,1459,1459,10,10,0.00000626,0.00000626,1,NEW
CROCS INC,edgar/data/1568068/0001568068-24-000003.txt,13F-HR,20240630,20240715,COM,1568068,JFS WEALTH ADVISORS  LLC,0001334036.0000.000BLY663,1314,19,9,0,0.00000104,0.00000001,11,
CROCS INC,edgar/data/1537621/0000950123-24-006762.txt,13F-HR,20240630,20240724,COM,1537621,DT Investment Partners  LLC,0001334036.0000.000BLY663,1314,1314,9,9,0.00000116,0.00000116,1,NEW
CROCS INC,edgar/data/1749744/0001580642-24-003768.txt,13F-HR,20240630,20240723,COM,1749744,Global Retirement Partners  LLC,0001334036.0000.000BLY663,1313,-269,9,-2,0.00000041,-0.00000018,6,
CROCS INC,edgar/data/1994563/0001994563-24-000007.txt,13F-HR,20240630,20240730,COM,1994563,DiNuzzo Private Wealth  Inc.,0001334036.0000.000BLY663,1022,303,7,2,0.00000138,-0.00000275,2,
CROCS INC,edgar/data/1831542/0001831542-24-000003.txt,13F-HR,20240630,20240712,COM,1831542,Hexagon Capital Partners LLC,0001334036.0000.000BLY663,1022,15,7,0,0.00000222,-0.00000002,11,
CROCS INC,edgar/data/1792704/0001906967-24-000006.txt,13F-HR,20240630,20240726,COM,1792704,Avion Wealth,0001334036.0000.000BLY663,1000,0,9,3,0.00275873,0.00007528,3,
CROCS INC,edgar/data/1894302/0001894302-24-000004.txt,13F-HR,20240630,20240716,COM,1894302,SJS Investment Consulting Inc.,0001334036.0000.000BLY663,584,8,4,0,0.00000113,-0.00000002,4,
CROCS INC,edgar/data/1764754/0001764754-24-000004.txt,13F-HR,20240630,20240723,COM,1764754,Geneos Wealth Management Inc.,0001334036.0000.000BLY663,584,9,4,0,0.00000026,0,2,
CROCS INC,edgar/data/1601348/0001601348-24-000003.txt,13F-HR,20240630,20240729,COM,1601348,Riggs Asset Managment Co. Inc.,0001334036.0000.000BLY663,438,6,3,0,0.00000131,0.00000005,2,
CROCS INC,edgar/data/2007175/0002007175-24-000003.txt,13F-HR,20240630,20240717,COM,2007175,Valued Wealth Advisors LLC,0001334036.0000.000BLY663,292,148,2,1,0.000002,0.00000098,2,
CROCS INC,edgar/data/1633366/0001633366-24-000005.txt,13F-HR,20240630,20240801,COM,1633366,MV CAPITAL MANAGEMENT  INC.,0001334036.0000.000BLY663,146,2,1,0,0.00000016,0,2,
CROCS INC,edgar/data/1542265/0001542265-24-000004.txt,13F-HR,20240630,20240718,COM,1542265,Gradient Investments LLC,0001334036.0000.000BLY663,146,2,1,0,0.00000003,0,11,
CROCS INC,edgar/data/2018007/0002018007-24-000004.txt,13F-HR,20240630,20240729,COM,2018007,American Capital Advisory  LLC,0001334036.0000.001SDGFR8,0,-633,0,-5,0,-0.00000552,1,DEL
CROCS INC,edgar/data/1942932/0001420506-24-001204.txt,13F-HR,20240630,20240730,COM,1942932,Global Assets Advisory  LLC,0001334036.0000.001SDGFR8,0,-353000,0,-51450,0,-0.16103324,1,DEL
CROCS INC,edgar/data/1910984/0001910984-24-000008.txt,13F-HR,20240630,20240717,COM,1910984,Blackston Financial Advisory Group  LLC,0001334036.0000.001SDGFR8,0,-1294,0,-9,0,-0.00000785,1,DEL
CROCS INC,edgar/data/1906594/0001906594-24-000009.txt,13F-HR,20240630,20240719,COM,1906594,China Universal Asset Management Co.  Ltd.,0001334036.0000.001SDGFR8,0,-1482290,0,-10308,0,-0.00188455,4,DEL
